suburb_id,bedrooms,type,median_solid_price,median_rental_price,date_time
2,house,,$525,2022-11-16 09:11:39,88
3,house,"$773,000",$600,2022-11-16 09:11:39,88
4,house,"$1,000,000",$725,2022-11-16 09:11:39,88
1,unit,,,2022-11-16 09:11:39,88
2,unit,,$500,2022-11-16 09:11:39,88
3,unit,"$675,000",$575,2022-11-16 09:11:39,88
2,house,,,2022-11-16 09:11:53,89
3,house,"$1,000,000",$650,2022-11-16 09:11:53,89
4,house,"$1,255,000",$745,2022-11-16 09:11:53,89
1,unit,,,2022-11-16 09:11:53,89
2,unit,,,2022-11-16 09:11:53,89
3,unit,"$850,000",$687,2022-11-16 09:11:53,89
2,house,,$590,2022-11-16 09:12:06,90
3,house,"$1,605,000",$750,2022-11-16 09:12:06,90
4,house,"$1,875,000",$950,2022-11-16 09:12:06,90
1,unit,"$462,500",$460,2022-11-16 09:12:06,90
2,unit,"$717,187",$580,2022-11-16 09:12:06,90
3,unit,,$795,2022-11-16 09:12:06,90
2,house,,,2022-11-16 09:12:18,91
3,house,,,2022-11-16 09:12:18,91
4,house,,,2022-11-16 09:12:18,91
1,unit,,,2022-11-16 09:12:18,91
2,unit,,,2022-11-16 09:12:18,91
3,unit,,,2022-11-16 09:12:18,91
2,house,,,2022-11-16 09:12:31,92
3,house,,,2022-11-16 09:12:31,92
4,house,,,2022-11-16 09:12:31,92
1,unit,,,2022-11-16 09:12:31,92
2,unit,,,2022-11-16 09:12:31,92
3,unit,,,2022-11-16 09:12:31,92
2,house,,,2022-11-16 09:12:54,95
3,house,,,2022-11-16 09:12:54,95
4,house,,,2022-11-16 09:12:54,95
1,unit,,,2022-11-16 09:12:54,95
2,unit,,,2022-11-16 09:12:54,95
3,unit,,,2022-11-16 09:12:54,95
2,house,,,2022-11-16 09:13:13,97
3,house,"$900,000",$615,2022-11-16 09:13:13,97
4,house,"$980,000",$710,2022-11-16 09:13:13,97
1,unit,,,2022-11-16 09:13:13,97
2,unit,,,2022-11-16 09:13:13,97
3,unit,,,2022-11-16 09:13:13,97
2,house,,,2022-11-16 09:13:24,98
3,house,"$857,500",$580,2022-11-16 09:13:24,98
4,house,"$1,095,000",$780,2022-11-16 09:13:24,98
1,unit,,,2022-11-16 09:13:24,98
2,unit,,$500,2022-11-16 09:13:24,98
3,unit,"$687,500",$570,2022-11-16 09:13:24,98
2,house,,,2022-11-16 09:13:36,99
3,house,,,2022-11-16 09:13:36,99
4,house,,,2022-11-16 09:13:36,99
1,unit,,,2022-11-16 09:13:36,99
2,unit,,,2022-11-16 09:13:36,99
3,unit,,,2022-11-16 09:13:36,99
2,house,,,2022-11-16 09:13:49,100
3,house,,$635,2022-11-16 09:13:49,100
4,house,"$1,425,000",$750,2022-11-16 09:13:49,100
1,unit,,,2022-11-16 09:13:49,100
2,unit,"$623,750",$490,2022-11-16 09:13:49,100
3,unit,,,2022-11-16 09:13:49,100
2,house,,$510,2022-11-16 09:14:00,101
3,house,"$825,000",$600,2022-11-16 09:14:00,101
4,house,,,2022-11-16 09:14:00,101
1,unit,"$450,000",$480,2022-11-16 09:14:00,101
2,unit,"$550,000",$580,2022-11-16 09:14:00,101
3,unit,"$805,000",$740,2022-11-16 09:14:00,101
2,house,,,2022-11-16 09:14:12,102
3,house,,,2022-11-16 09:14:12,102
4,house,,,2022-11-16 09:14:12,102
1,unit,,,2022-11-16 09:14:12,102
2,unit,,,2022-11-16 09:14:12,102
3,unit,,,2022-11-16 09:14:12,102
2,house,,,2022-11-16 09:14:27,103
3,house,,$815,2022-11-16 09:14:27,103
4,house,"$2,538,750","$1,120",2022-11-16 09:14:27,103
1,unit,,,2022-11-16 09:14:27,103
2,unit,,$430,2022-11-16 09:14:27,103
3,unit,,,2022-11-16 09:14:27,103
2,house,,,2022-11-16 09:14:39,104
3,house,,,2022-11-16 09:14:39,104
4,house,,,2022-11-16 09:14:39,104
1,unit,"$445,000",$495,2022-11-16 09:14:39,104
2,unit,"$549,500",$600,2022-11-16 09:14:39,104
3,unit,,$825,2022-11-16 09:14:39,104
2,house,,,2022-11-16 09:14:51,105
3,house,"$788,750",$595,2022-11-16 09:14:51,105
4,house,,,2022-11-16 09:14:51,105
1,unit,,,2022-11-16 09:14:51,105
2,unit,,,2022-11-16 09:14:51,105
3,unit,,,2022-11-16 09:14:51,105
2,house,,,2022-11-16 09:15:03,106
3,house,"$920,000",$620,2022-11-16 09:15:03,106
4,house,"$1,127,500",$720,2022-11-16 09:15:03,106
1,unit,,,2022-11-16 09:15:03,106
2,unit,,,2022-11-16 09:15:03,106
3,unit,,,2022-11-16 09:15:03,106
2,house,,,2022-11-16 09:15:15,107
3,house,,,2022-11-16 09:15:15,107
4,house,,,2022-11-16 09:15:15,107
1,unit,,,2022-11-16 09:15:15,107
2,unit,,,2022-11-16 09:15:15,107
3,unit,,,2022-11-16 09:15:15,107
