house_quarterly_growth,house_twelve_month_growth,house_average_annual_growth,house_number_of_sales,unit_quarterly_growth,unit_twelve_month_growth,unit_average_annual_growth,unit_number_of_sales,suburb_id
+1.87,+21.52,+7.88,33,-2.01,0.00,,12,6981
+7.74,+16.62,+7.97,63,,,,0,5020
,,,5,,,,0,7868
+4.29,+26.96,,6,+0.48,+23.24,+1.71,19,6977
0.00,-0.73,+6.05,28,+4.49,+18.52,+3.89,61,2771
0.00,+23.08,+13.69,25,,,,1,10214
-0.44,+19.15,+6.30,189,,,,11,1470
+4.04,+24.12,+8.59,366,+5.56,+21.48,+6.24,24,6093
,,,0,,,,,4765
+5.20,+24.57,,12,,,,0,2030
+2.04,+11.73,+4.56,510,,,,7,5238
+0.72,+6.38,+11.31,26,,,,0,10132
+7.69,+26.00,+12.96,61,0.00,+15.35,,5,8757
+4.49,+36.17,+9.36,309,+2.64,+8.90,+6.89,29,6703
,,,2,,,,,6255
+5.52,+32.29,+9.36,26,,,,3,7988
-1.87,+18.30,+12.67,18,,,,0,9195
,,,0,,,,0,9764
-7.86,-7.86,+7.28,17,+1.72,+13.32,+4.02,57,3685
,,,2,,,,,962
+3.14,+11.33,,25,,,,0,9277
-1.35,-2.76,+5.60,95,,,,0,990
-0.99,-16.67,+2.78,85,+18.89,+32.10,+6.57,96,7805
+2.74,+21.88,+13.36,64,+4.70,+24.97,+12.42,24,9603
+1.15,+20.55,+10.06,71,+5.71,+26.50,+9.04,9,8983
-10.91,+15.29,+8.68,17,,,,0,5566
+10.28,-2.90,+6.39,26,,,,0,5093
-6.71,-5.00,-0.19,104,,,,9,7930
+1.88,+14.86,+5.13,74,,,,0,2088
,,,5,,,,0,1886
+6.87,+22.09,+12.80,130,-1.89,+1.17,+11.44,17,10663
+8.19,+28.15,+8.29,41,+6.33,+5.65,,18,7217
+1.78,+17.29,+13.05,189,,,,4,11670
+5.66,+11.11,+5.06,42,,,,0,1910
+5.62,+46.91,+9.10,148,,,,2,6016
,,,1,,,,0,11413
-0.58,+14.48,+8.59,350,+1.05,+15.94,+7.89,141,10276
,+49.09,+14.83,9,,,,0,8543
+10.32,+45.63,+19.33,131,+8.46,+27.45,+18.21,199,6033
+1.53,-31.55,+0.72,10,,,,1,3838
-2.69,+6.75,+6.69,18,-3.06,-17.69,-1.75,78,5782
+1.90,+15.52,+2.40,65,,,,1,12778
+0.96,+2.44,+6.68,122,,,,1,11760
-3.75,+6.09,+3.60,126,-1.03,+2.03,+1.40,232,10015
+3.46,+18.62,+6.14,63,,,,3,8123
,,,3,,,,,7774
+4.02,+32.53,+16.08,91,+3.75,+30.91,+10.49,11,8624
+11.92,+36.02,+10.59,35,,,,1,3152
-3.99,-7.42,+3.37,35,+21.64,+26.13,+1.46,31,9599
,,+1.68,10,,,,0,2004
,,,4,,,,0,4387
+2.10,+13.53,+7.14,383,0.00,+9.29,+5.26,16,9593
+0.23,+18.92,+7.96,131,+1.57,+24.30,+7.72,25,2578
+8.71,+40.42,+10.08,111,,,,0,7273
+5.12,,,11,,,,,4608
+21.78,+16.07,,20,,,,0,7775
0.00,+15.95,+7.50,113,+19.86,+13.93,+1.98,77,11820
+4.24,+24.24,+10.55,84,,,,1,6668
+0.39,+25.12,+9.87,40,+4.88,+10.27,+6.08,55,81
+4.94,+20.26,+9.12,98,,,,3,4386
+2.42,+13.85,+8.62,8,,,,0,488
+5.78,+30.89,+8.98,48,-1.31,+9.21,,11,7633
+0.93,+28.45,,15,+0.31,+4.62,+2.86,71,7064
,,,8,,,,3,8246
+3.11,+3.92,+5.27,117,,,,4,12806
0.00,+20.21,+9.43,44,,,,0,3705
+14.52,+32.65,+7.22,31,,,,3,6104
,,,4,,,,,2705
+1.50,+25.37,+14.52,76,+4.95,+26.19,+11.69,33,9712
-2.57,+5.11,+7.47,32,,,,0,3173
-0.55,+27.87,+14.10,102,-0.33,+21.63,+12.46,37,8835
,,,1,,,,,6444
+5.00,+22.93,+7.29,138,+1.79,+47.67,,16,5095
+5.88,+36.55,+13.53,6,,,,0,3516
,,,2,,,,,7550
+0.56,+18.25,+8.98,146,,,,4,1939
,,,6,,,,0,633
+30.95,+47.06,+15.46,22,,,,2,9487
+0.71,+9.38,+4.49,508,-0.56,+4.68,+2.27,274,9897
+0.55,+10.15,+4.74,93,+0.64,,,9,1758
+0.27,+20.51,+13.92,27,,,,4,10870
,,,7,,,,0,890
,,,3,,,,0,567
+4.33,+30.63,+13.80,82,,,,1,3498
+0.45,+14.72,+6.00,132,-3.14,-5.62,+3.72,112,10381
+0.17,+10.69,+4.75,231,-9.19,-10.28,+1.50,12,11377
+4.12,+21.69,+5.99,357,+1.51,+17.58,+4.03,46,1552
+0.77,+43.01,+13.25,26,,,,0,8359
+0.93,+28.66,+7.19,26,+3.51,+10.80,+0.78,23,2802
-1.04,+24.20,+5.10,167,,,,5,7398
+0.35,+30.91,+13.40,13,,,,0,2699
+11.11,+31.73,+12.92,71,-2.40,-4.16,+6.05,19,8975
,,,3,,,,0,3178
+0.12,+10.00,+4.30,114,-0.27,+30.99,+4.40,21,1961
+6.50,+32.53,+21.61,18,,,,0,6687
,,,8,,,,0,2419
+4.36,+24.42,+10.58,22,,,,2,7790
-2.62,+6.90,+5.11,86,+2.88,+8.63,+4.91,73,8253
,,,5,,,,,616
+9.91,+30.46,+12.02,50,+14.55,+26.00,+7.94,18,6356
+3.79,+1.00,+7.81,55,+0.25,+5.62,+4.07,30,3717
+4.40,+16.79,+15.06,76,-0.85,+12.23,+15.72,14,8707
-0.96,,+11.05,48,,,,1,3614
+7.71,+27.35,+8.20,106,,,,6,486
-0.39,+6.13,+3.79,82,+0.86,+0.31,+3.50,101,9482
-2.01,+28.13,+13.89,43,,,,4,780
-0.50,,-0.28,17,,,,5,6940
+3.89,+37.50,+20.37,60,+1.49,+30.77,+16.56,18,8419
+1.93,+28.36,+9.90,190,+0.79,+27.25,+8.62,105,888
+0.25,+12.96,+11.98,103,+1.17,+19.08,+12.50,25,10666
+5.75,+25.17,,25,,,,0,11571
0.00,+32.62,+5.13,46,-0.43,,+0.18,9,420
+9.40,+35.83,+8.53,102,,,,4,7276
-0.37,+19.82,+12.93,15,,,,0,10677
+7.88,+24.09,+12.05,123,+13.90,+20.41,+1.98,43,6037
+4.85,+25.09,+11.98,36,,,,0,3595
+1.27,+24.67,+6.11,14,,,,0,1300
+13.77,+15.78,,10,,,,1,10737
+4.98,+21.47,+8.17,46,,,,5,7305
,,,1,,,,0,10038
+4.64,+24.15,+8.75,58,,,,6,3666
,,,2,,,,0,6261
,,,5,,,,,1525
,,,5,,,,0,5568
+1.78,+11.75,+4.62,34,,,,0,12850
+3.51,+34.09,+12.67,395,+1.81,+26.12,+7.45,38,883
0.00,+17.21,+8.29,183,+1.07,+1.43,-0.42,195,3239
+5.11,+14.75,+4.12,309,-9.89,+0.20,,20,12019
-3.76,+7.02,+6.83,33,,,,0,6595
+2.29,+35.71,+19.64,29,,,,0,8542
+13.04,+42.47,+16.15,28,,,,0,5140
+2.83,+34.77,+8.80,47,,,,7,7823
,,,0,,,,,5339
+6.90,+14.81,+12.94,9,+8.57,+38.25,+11.65,9,2195
0.00,+30.00,,26,+15.64,+38.86,+5.87,10,3317
,,,3,,,,0,1106
+2.17,+20.51,+12.57,34,,,,0,5218
